,web,dist_sea,dist_city,stars,feedb,price,feedb_n,num_rooms,pool,kids,anim,location,dist_sea_km,dist_city_km,perks_n,amenities_n,Бар или ресторан,Бассейн,Бесплатный интернет,Джакузи,Для гостей с ограниченными возможностями,Кондиционер,Конференц-зал,Кухня,Можно курить,Парковка,Пляж рядом,Подходит для детей,Разрешено с домашними животными,Спа-услуги,Трансфер,Фитнес,tv_bin,brekf_bin,fridge_bin,heat_bin,iron_bin,smokefree_bin,invalid_bin
2089,https://ostrovok.ru/hotel/russia/sochi/mid10019769/gostevoy_dom_chaykasochi/,290.0,1600.0,0,9.3,3684,34,10.0,0,1,0,sochi,0.0,1.0,5,22,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2094,https://ostrovok.ru/hotel/russia/sochi/mid10020073/gostevoy_dom_art_hotelretreat/,280.0,21700.0,0,8.0,1338,16,30.0,1,3,0,sochi,0.0,1.0,5,34,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2107,https://ostrovok.ru/hotel/russia/sochi/mid10040196/hotel_delos_3/,0.0,22400.0,4,8.5,18204,48,36.0,1,1,0,sochi,0.0,1.0,5,37,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2162,https://ostrovok.ru/hotel/russia/sochi/mid10053929/apartamenty_alles/,1200.0,47100.0,0,9.5,4800,5,1.0,0,1,0,sochi,1.0,1.0,5,14,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
2167,https://ostrovok.ru/hotel/russia/sochi/mid10053944/gostevoj_dom_anzhelika_2/,560.0,20200.0,0,8.8,1572,11,13.0,0,0,0,sochi,0.0,1.0,5,20,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2189,https://ostrovok.ru/hotel/russia/sochi/mid10086868/apartments_anita_31/,330.0,1600.0,0,0.0,6962,0,16.0,0,0,1,sochi,0.0,1.0,5,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2201,https://ostrovok.ru/hotel/russia/sochi/mid10092603/gostevoy_dom_briz_2/,22500.0,23800.0,0,0.0,1906,0,67.0,1,3,1,sochi,1.0,1.0,5,38,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
2210,https://ostrovok.ru/hotel/russia/sochi/mid10093508/apartotel_pushkin_neolit/,850.0,2300.0,3,8.8,4534,59,23.0,0,2,0,sochi,0.0,1.0,5,31,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2219,https://ostrovok.ru/hotel/russia/sochi/mid10093697/apartotel_hiloft_hotel/,0.0,2400.0,4,9.1,17338,11,6.0,1,1,0,sochi,0.0,1.0,5,27,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2242,https://ostrovok.ru/hotel/russia/sochi/mid10098670/zemlyanichnaya_nomer_1/,2600.0,4500.0,0,0.0,6962,0,9.0,0,0,0,sochi,1.0,1.0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
