,stars,feedb,Бар или ресторан,Бассейн,Бесплатный интернет,Джакузи,Для гостей с ограниченными возможностями,Кондиционер,Конференц-зал,Кухня,Можно курить,Парковка,Пляж рядом,Подходит для детей,Разрешено с домашними животными,Спа-услуги,Трансфер,Фитнес,tv_bin,brekf_bin,fridge_bin,heat_bin,iron_bin,dist_city,num_rooms,perks_n,amenities_n,dist_sea,feedb_n
1006,0,8.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,6.8955814780504285,4.248495242049359,1.6094379124341003,4.02535169073515,4.499809670330265,5.231108616854587
1007,3,8.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,9.775654181026242,3.8066624897703196,1.6094379124341003,3.784189633918261,6.152732694704104,3.8918202981106265
1008,2,9.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.814656338829513,2.833213344056216,1.6094379124341003,3.6635616461296463,4.700480365792417,5.771441123130016
1009,0,8.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,10.056208639553791,3.295836866004329,1.6094379124341003,3.4011973816621555,4.0943445622221,5.087596335232384
1010,0,8.1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,9.84161214881804,3.912023005428146,1.6094379124341003,3.4011973816621555,6.327936783729195,4.442651256490317
1011,3,7.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7.783224016336037,3.1780538303479458,1.6094379124341003,3.091042453358316,6.866933284461882,4.74493212836325
1012,4,8.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,7.824046010856292,3.912023005428146,1.6094379124341003,3.8918202981106265,6.4457198193855785,5.2832037287379885
1013,5,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.131530710604252,3.6635616461296463,1.6094379124341003,3.6888794541139363,7.170119543449628,5.043425116919247
1014,0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,7.696212639346407,4.927253685157205,1.6094379124341003,3.713572066704308,5.8289456176102075,5.8664680569332965
1015,4,7.6,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.3777589082278725,4.30406509320417,1.6094379124341003,3.8918202981106265,6.579251212010101,5.4638318050256105
1016,0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,8.66561319653451,5.659482215759621,1.6094379124341003,4.5217885770490405,6.063785208687608,6.089044875446846
1017,4,6.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.003065458786462,6.040254711277414,1.6094379124341003,3.9512437185814275,5.135798437050262,7.284134806195205
1018,4,7.4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,8.101677747454572,3.1354942159291497,1.6094379124341003,2.6390573296152584,6.907755278982137,3.912023005428146
1019,0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.873577827180551,1.0986122886681098,0.0,2.0794415416798357,5.966146739123692,3.295836866004329
1020,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.341368634382587,2.3978952727983707,0.0,0.0,6.214608098422191,2.3978952727983707
1021,2,6.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.170119543449628,2.4849066497880004,1.0986122886681098,2.3978952727983707,5.768320995793772,3.332204510175204
1022,3,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.595602772766828,3.4657359027997265,1.6094379124341003,2.8903717578961645,6.29156913955832,2.3978952727983707
1023,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.070906088787819,3.4657359027997265,1.6094379124341003,2.70805020110221,7.24422751560335,3200.0000000000487
1024,0,9.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,8.1886891244442,1.6094379124341003,1.6094379124341003,3.332204510175204,7.090076835776092,3.6635616461296463
1025,2,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.588776807696428,5.308267697401205,1.6094379124341003,3.258096538021482,5.3471075307174685,4.605170185988092
1026,3,8.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.3777589082278725,4.499809670330265,1.6094379124341003,3.828641396489095,5.480638923341991,4.997212273764115
1027,0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.085809109330082,2.6390573296152584,1.0986122886681098,1.6094379124341003,5.8289456176102075,2.70805020110221
1028,0,8.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,9.581903928408666,2.5649493574615367,1.6094379124341003,3.044522437723423,6.173786103901937,2.4849066497880004
1029,0,8.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,10.764265574480024,3.044522437723423,1.6094379124341003,3.6375861597263857,6.813444599510896,1.9459101490553132
1030,0,9.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.797532675462964,1.9459101490553132,1.6094379124341003,2.772588722239781,6.152732694704104,2.6390573296152584
